A
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,139.5,141.35,138.06,140.89,140.4514,1182851
2022-11-02,140.61,140.94,135.21,135.27,134.8489,1806134
2022-11-03,133.77,135.865,130.66,134.46,134.0414,1199461
2022-11-04,135.65,137.005,133.11,136.08,135.6564,1272088
2022-11-07,136.85,138.08,135.56,138.03,137.6003,1213652
2022-11-08,138.5,140.685,136.6,138.75,138.318,1028120
2022-11-09,138.31,139.42,136.66,137,136.5735,971246
2022-11-10,142.87,146.72,142.53,146.3,145.8445,1591960
2022-11-11,147.12,149.74,146.35,148.31,147.8483,1227498
2022-11-14,149.01,149.71,146.3,146.38,145.9243,1206578
2022-11-15,148.27,149.46,146.495,148,147.5392,1299334
2022-11-16,148.19,148.75,146.35,147.12,146.662,1476733
2022-11-17,145.33,145.56,142.16,144.44,143.9903,1465186
2022-11-18,146.68,147.955,144.15,146.19,145.7349,1283616
2022-11-21,145.62,147.16,144.43,145.14,144.6882,1691900
2022-11-22,151.98,157.44,151.98,156.86,156.3717,3512716
2022-11-23,156.67,157.28,154.35,155.35,154.8664,1444152
2022-11-25,155.09,156.96,154.71,156.96,156.4714,642657
2022-11-28,155.87,156.85,151.73,152.3,151.8259,1386282
2022-11-29,151.88,152.9,150.49,150.94,150.4701,954556
2022-11-30,151.38,154.98,149.1,154.98,154.4975,2867702

AA
Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-01,40.77,42.13,40.26,40.88,40.8064,6356100
2022-11-02,40.71,41.14,37.77,37.77,37.702,5221800
2022-11-03,37.14,38.19,36.512,37.7,37.6321,4407700
2022-11-04,41.54,43.52,40.8,42.4,42.3236,11099400
2022-11-07,42.47,42.79,41,41.51,41.4352,4790700
2022-11-08,42.18,43.385,41.46,43.23,43.1521,4740200
2022-11-09,42.53,42.745,40.34,40.68,40.6067,4181200
2022-11-10,42.81,45.49,42.81,43.83,43.7511,8201900
2022-11-11,45.26,50.76,45.04,47.66,47.5742,18068200
2022-11-14,46.55,49.05,46.4,48.22,48.1331,6575000
2022-11-15,49.6,49.99,48.44,49.21,49.1214,5395300
2022-11-16,47.65,48.83,46.24,48.67,48.5823,7751300
2022-11-17,46.93,47.46,45.55,47.37,47.2847,5688200
2022-11-18,48.18,48.57,46.72,47.31,47.2248,3967400
2022-11-21,46.13,46.89,44.51,46.63,46.546,5378100
2022-11-22,47.72,49.42,46.94,49.36,49.2711,5593300
2022-11-23,48.51,48.97,47.88,48.51,48.4226,3213600
