ticker,date,period_ending,estimate,reported,surprise,surprise%
A,21-Nov-2022,Oct 2022,1.39,1.53,0.14,10.07
AA,19-Oct-2022,Sep 2022,0.09,-0.33,-0.42,-466.67
AAL,20-Oct-2022,Sep 2022,0.54,0.69,0.15,27.78
AAN,24-Oct-2022,Sep 2022,0.16,0.31,0.15,93.75
AAON,07-Nov-2022,Sep 2022,0.44,0.51,0.07,15.91
AAP,15-Nov-2022,Sep 2022,3.32,2.84,-0.48,-14.46
AAPL,27-Oct-2022,Sep 2022,1.26,1.29,0.03,2.38
AAT,25-Oct-2022,Sep 2022,0.55,0.21,-0.34,-61.82
ABBV,28-Oct-2022,Sep 2022,3.56,3.66,0.1,2.81
ABC,03-Nov-2022,Sep 2022,2.58,2.6,0.02,0.78
ABCB,27-Oct-2022,Sep 2022,1.34,1.32,-0.02,-1.49
ABCL,08-Nov-2022,Sep 2022,0.09,0.08,-0.01,-11.11
ABG,27-Oct-2022,Sep 2022,9.19,9.23,0.04,0.44
ABM,13-Dec-2022,Oct 2022,0.89,0.89,0.0,0.0
ABNB,01-Nov-2022,Sep 2022,1.43,1.79,0.36,25.17
ABR,04-Nov-2022,Sep 2022,0.45,0.56,0.11,24.44
ABT,19-Oct-2022,Sep 2022,0.91,1.15,0.24,26.37
ABUS,09-Nov-2022,Sep 2022,-0.12,-0.12,0.0,0.0
ACA,02-Nov-2022,Sep 2022,0.58,0.7,0.12,20.69
ACAD,02-Nov-2022,Sep 2022,-0.18,-0.17,0.01,5.56
ACCD,06-Oct-2022,Aug 2022,-0.71,-0.66,0.05,7.04
ACCO,07-Nov-2022,Sep 2022,0.24,0.25,0.01,4.17
ACEL,08-Nov-2022,Sep 2022,0.23,0.21,-0.02,-8.7
ACET,08-Nov-2022,Sep 2022,-0.56,-0.53,0.03,5.36
ACGL,26-Oct-2022,Sep 2022,0.24,0.28,0.04,16.67
ACHC,31-Oct-2022,Sep 2022,0.8,0.8,0.0,0.0
ACI,18-Oct-2022,Aug 2022,0.64,0.72,0.08,12.5
ACLS,02-Nov-2022,Sep 2022,1.13,1.21,0.08,7.08
ACM,14-Nov-2022,Sep 2022,0.84,0.89,0.05,5.95
ACMR,04-Nov-2022,Sep 2022,0.19,0.42,0.23,121.05
ACN,22-Sep-2022,Aug 2022,2.57,2.6,0.03,1.17
ACRE,02-Nov-2022,Sep 2022,0.35,0.39,0.04,11.43
ACRS,08-Nov-2022,Sep 2022,-0.39,-0.3,0.09,23.08
ACT,01-Nov-2022,Sep 2022,0.89,1.17,0.28,31.46
ACVA,09-Nov-2022,Sep 2022,-0.19,-0.15,0.04,21.05
ADBE,15-Sep-2022,Aug 2022,3.33,3.4,0.07,2.1
ADC,01-Nov-2022,Sep 2022,0.96,0.96,0.0,0.0
ADI,22-Nov-2022,Oct 2022,2.58,2.73,0.15,5.81
ADM,25-Oct-2022,Sep 2022,1.42,1.86,0.44,30.99
ADMA,09-Nov-2022,Sep 2022,-0.08,-0.08,0.0,0.0
ADNT,04-Nov-2022,Sep 2022,0.51,0.53,0.02,3.92
ADP,26-Oct-2022,Sep 2022,1.78,1.86,0.08,4.49
ADPT,03-Nov-2022,Sep 2022,-0.37,-0.32,0.05,13.51
ADSK,22-Nov-2022,Oct 2022,1.7,1.7,0.0,0.0
ADT,03-Nov-2022,Sep 2022,0.06,0.1,0.04,66.67
ADTN,08-Nov-2022,Sep 2022,0.18,0.11,-0.07,-38.89
ADUS,31-Oct-2022,Sep 2022,0.93,0.94,0.01,1.08
AEE,03-Nov-2022,Sep 2022,1.72,1.74,0.02,1.16
AEIS,01-Nov-2022,Sep 2022,1.38,2.12,0.74,53.62
AEL,07-Nov-2022,Sep 2022,0.84,0.99,0.15,17.86
AEO,22-Nov-2022,Oct 2022,0.23,0.42,0.19,82.61
AEP,27-Oct-2022,Sep 2022,1.57,1.62,0.05,3.18
AES,04-Nov-2022,Sep 2022,0.54,0.63,0.09,16.67
AFCG,08-Nov-2022,Sep 2022,0.67,0.59,-0.08,-11.94
AFG,02-Nov-2022,Sep 2022,2.2,2.24,0.04,1.82
AFL,31-Oct-2022,Sep 2022,1.22,1.23,0.01,0.82
AFRM,08-Nov-2022,Sep 2022,-0.82,-0.86,-0.04,-4.88
AGCO,01-Nov-2022,Sep 2022,3.12,3.18,0.06,1.92
AGEN,08-Nov-2022,Sep 2022,-0.18,-0.19,-0.01,-5.56
AGIO,03-Nov-2022,Sep 2022,-1.75,-1.49,0.26,14.86
AGL,03-Nov-2022,Sep 2022,-0.05,-0.07,-0.02,-40.0
AGNC,24-Oct-2022,Sep 2022,0.71,0.84,0.13,18.31
AGR,25-Oct-2022,Sep 2022,0.32,0.31,-0.01,-3.13
AGTI,10-Nov-2022,Sep 2022,0.18,0.19,0.01,5.56
AGYS,25-Oct-2022,Sep 2022,0.18,0.24,0.06,33.33
AHCO,08-Nov-2022,Sep 2022,0.31,0.11,-0.2,-64.52
AHH,08-Nov-2022,Sep 2022,0.29,0.38,0.09,31.03
AI,07-Dec-2022,Oct 2022,-0.16,-0.11,0.05,31.25
AIG,01-Nov-2022,Sep 2022,0.59,0.66,0.07,11.86
AIN,24-Oct-2022,Sep 2022,0.84,1.15,0.31,36.9
AIR,22-Sep-2022,Aug 2022,0.58,0.61,0.03,5.17
AIRC,03-Nov-2022,Sep 2022,0.58,0.01,-0.57,-98.28
AIT,27-Oct-2022,Sep 2022,1.64,1.97,0.33,20.12
AIZ,01-Nov-2022,Sep 2022,1.0,1.01,0.01,1.0
AJG,27-Oct-2022,Sep 2022,1.67,1.72,0.05,2.99
AJRD,01-Nov-2022,Sep 2022,0.44,0.45,0.01,2.27
AKAM,08-Nov-2022,Sep 2022,1.23,1.26,0.03,2.44
AKR,01-Nov-2022,Sep 2022,0.28,0.28,0.0,0.0
AKRO,04-Nov-2022,Sep 2022,-0.73,-0.92,-0.19,-26.03
AKTS,14-Nov-2022,Sep 2022,-0.2,-0.28,-0.08,-40.0
AL,03-Nov-2022,Sep 2022,0.89,0.9,0.01,1.12
ALB,02-Nov-2022,Sep 2022,6.84,7.5,0.66,9.65
ALE,09-Nov-2022,Sep 2022,0.7,0.59,-0.11,-15.71
ALEC,08-Nov-2022,Sep 2022,-0.43,-0.56,-0.13,-30.23
ALEX,03-Nov-2022,Sep 2022,0.25,0.09,-0.16,-64.0
ALG,03-Nov-2022,Sep 2022,2.48,2.16,-0.32,-12.9
ALGM,27-Oct-2022,Sep 2022,0.26,0.31,0.05,19.23
ALGN,26-Oct-2022,Sep 2022,2.21,1.36,-0.85,-38.46
ALGT,02-Nov-2022,Sep 2022,-0.47,-0.54,-0.07,-14.89
ALHC,03-Nov-2022,Sep 2022,-0.25,-0.22,0.03,12.0
ALK,20-Oct-2022,Sep 2022,2.41,2.53,0.12,4.98
ALKS,02-Nov-2022,Sep 2022,0.02,0.02,0.0,0.0
ALKT,03-Nov-2022,Sep 2022,-0.07,-0.06,0.01,14.29
ALL,02-Nov-2022,Sep 2022,-1.57,-1.56,0.01,0.64
ALLE,27-Oct-2022,Sep 2022,1.45,1.64,0.19,13.1
ALLO,02-Nov-2022,Sep 2022,-0.62,-0.58,0.04,6.45
ALLY,19-Oct-2022,Sep 2022,1.73,1.12,-0.61,-35.26
ALNY,27-Oct-2022,Sep 2022,-1.86,-3.32,-1.46,-78.49
ALRM,08-Nov-2022,Sep 2022,0.5,0.55,0.05,10.0
ALRS,26-Oct-2022,Sep 2022,0.57,0.54,-0.03,-5.26
ALSN,26-Oct-2022,Sep 2022,1.31,1.45,0.14,10.69
ALTG,09-Nov-2022,Sep 2022,0.12,0.14,0.02,16.67
ALTR,03-Nov-2022,Sep 2022,0.01,0.05,0.04,400.0
ALX,31-Oct-2022,Sep 2022,4.03,4.4,0.37,9.18
ALXO,08-Nov-2022,Sep 2022,-0.75,-0.72,0.03,4.0
AM,26-Oct-2022,Sep 2022,0.19,0.2,0.01,5.26
AMAL,27-Oct-2022,Sep 2022,0.69,0.77,0.08,11.59
AMAT,17-Nov-2022,Oct 2022,1.72,2.03,0.31,18.02
AMBA,01-Dec-2022,Oct 2022,0.19,0.24,0.05,26.32
AMBP,27-Oct-2022,Sep 2022,0.09,0.06,-0.03,-33.33
AMC,08-Nov-2022,Sep 2022,-0.25,-0.2,0.05,20.0
AMCR,01-Nov-2022,Sep 2022,0.19,0.18,-0.01,-5.26
AMCX,04-Nov-2022,Sep 2022,1.99,2.09,0.1,5.03
AMD,01-Nov-2022,Sep 2022,0.67,0.67,0.0,0.0
AME,01-Nov-2022,Sep 2022,1.37,1.45,0.08,5.84
AMED,26-Oct-2022,Sep 2022,1.24,1.15,-0.09,-7.26
AMEH,03-Nov-2022,Sep 2022,0.2,0.56,0.36,180.0
AMG,07-Nov-2022,Sep 2022,3.92,4.21,0.29,7.4
AMGN,03-Nov-2022,Sep 2022,4.43,4.7,0.27,6.09
AMH,03-Nov-2022,Sep 2022,0.39,0.39,0.0,0.0
AMK,01-Nov-2022,Sep 2022,0.41,0.47,0.06,14.63
AMKR,31-Oct-2022,Sep 2022,0.92,1.24,0.32,34.78
AMN,03-Nov-2022,Sep 2022,2.33,2.57,0.24,10.3
AMOT,02-Nov-2022,Sep 2022,0.35,0.6,0.25,71.43
AMP,25-Oct-2022,Sep 2022,5.82,6.43,0.61,10.48
AMPH,07-Nov-2022,Sep 2022,0.38,0.38,0.0,0.0
AMPL,02-Nov-2022,Sep 2022,-0.08,-0.03,0.05,62.5
AMPY,01-Nov-2022,Sep 2022,0.17,1.17,1.0,588.24
AMR,07-Nov-2022,Sep 2022,16.79,14.21,-2.58,-15.37
AMRC,01-Nov-2022,Sep 2022,0.47,0.54,0.07,14.89
AMRK,08-Nov-2022,Sep 2022,1.28,1.93,0.65,50.78
AMRS,08-Nov-2022,Sep 2022,-0.21,-0.44,-0.23,-109.52
AMRX,04-Nov-2022,Sep 2022,0.18,0.14,-0.04,-22.22
AMSF,26-Oct-2022,Sep 2022,0.58,0.73,0.15,25.86
AMSWA,17-Nov-2022,Oct 2022,0.07,0.1,0.03,42.86
AMT,27-Oct-2022,Sep 2022,2.42,2.36,-0.06,-2.48
AMTB,20-Oct-2022,Sep 2022,0.55,0.63,0.08,14.55
AMWD,22-Nov-2022,Oct 2022,1.73,2.24,0.51,29.48
AMWL,07-Nov-2022,Sep 2022,-0.26,-0.25,0.01,3.85
AMZN,27-Oct-2022,Sep 2022,0.22,0.2,-0.02,-9.09
AN,27-Oct-2022,Sep 2022,6.32,6.0,-0.32,-5.06
ANAB,08-Nov-2022,Sep 2022,-0.47,-1.18,-0.71,-151.06
ANDE,01-Nov-2022,Sep 2022,0.33,0.5,0.17,51.52
ANET,31-Oct-2022,Sep 2022,1.05,1.25,0.2,19.05
ANF,22-Nov-2022,Oct 2022,-0.13,0.01,0.14,107.69
ANGO,06-Oct-2022,Aug 2022,-0.02,-0.06,-0.04,-200.0
ANIK,08-Nov-2022,Sep 2022,-0.24,-0.29,-0.05,-20.83
ANIP,09-Nov-2022,Sep 2022,0.58,0.64,0.06,10.34
ANSS,02-Nov-2022,Sep 2022,1.62,1.77,0.15,9.26
AON,28-Oct-2022,Sep 2022,2.01,2.02,0.01,0.5
AOS,27-Oct-2022,Sep 2022,0.69,0.69,0.0,0.0
AOSL,03-Nov-2022,Sep 2022,1.21,1.2,-0.01,-0.83
APA,02-Nov-2022,Sep 2022,1.92,1.97,0.05,2.6
APAM,01-Nov-2022,Sep 2022,0.71,0.7,-0.01,-1.41
APD,03-Nov-2022,Sep 2022,2.77,2.89,0.12,4.33
APG,03-Nov-2022,Sep 2022,0.37,0.37,0.0,0.0
APH,26-Oct-2022,Sep 2022,0.75,0.8,0.05,6.67
APLE,07-Nov-2022,Sep 2022,0.44,0.26,-0.18,-40.91
APLS,07-Nov-2022,Sep 2022,-1.48,-1.75,-0.27,-18.24
APO,02-Nov-2022,Sep 2022,1.19,1.33,0.14,11.76
APOG,20-Sep-2022,Aug 2022,0.89,1.06,0.17,19.1
APP,09-Nov-2022,Sep 2022,0.09,0.06,-0.03,-33.33
APPF,27-Oct-2022,Sep 2022,-0.16,0.11,0.27,168.75
APPN,03-Nov-2022,Sep 2022,-0.23,-0.43,-0.2,-86.96
APPS,09-Nov-2022,Sep 2022,0.32,0.34,0.02,6.25
APTV,03-Nov-2022,Sep 2022,1.04,1.28,0.24,23.08
AQUA,15-Nov-2022,Sep 2022,0.33,0.46,0.13,39.39
AR,26-Oct-2022,Sep 2022,1.91,1.63,-0.28,-14.66
ARCB,01-Nov-2022,Sep 2022,3.75,3.8,0.05,1.33
ARCH,27-Oct-2022,Sep 2022,9.14,8.68,-0.46,-5.03
ARCT,09-Nov-2022,Sep 2022,-2.01,-1.33,0.68,33.83
ARE,24-Oct-2022,Sep 2022,2.12,2.13,0.01,0.47
ARES,27-Oct-2022,Sep 2022,0.73,0.75,0.02,2.74
ARGO,07-Nov-2022,Sep 2022,-2.13,0.44,2.57,120.66
ARI,24-Oct-2022,Sep 2022,0.36,0.37,0.01,2.78
ARIS,09-Nov-2022,Sep 2022,0.19,0.23,0.04,21.05
ARKO,07-Nov-2022,Sep 2022,0.26,0.17,-0.09,-34.62
ARLO,08-Nov-2022,Sep 2022,-0.13,-0.05,0.08,61.54
ARMK,15-Nov-2022,Sep 2022,0.49,0.48,-0.01,-2.04
ARNC,01-Nov-2022,Sep 2022,0.19,0.05,-0.14,-73.68
AROW,27-Oct-2022,Sep 2022,0.68,0.74,0.06,8.82
ARQT,08-Nov-2022,Sep 2022,-1.54,-1.89,-0.35,-22.73
ARR,26-Oct-2022,Sep 2022,0.31,0.32,0.01,3.23
ARRY,08-Nov-2022,Sep 2022,0.12,0.18,0.06,50.0
ARTNA,03-Nov-2022,Sep 2022,0.58,0.65,0.07,12.07
ARVN,08-Nov-2022,Sep 2022,-0.98,-1.24,-0.26,-26.53
ARW,03-Nov-2022,Sep 2022,5.36,5.45,0.09,1.68
ARWR,28-Nov-2022,Sep 2022,-0.57,-0.81,-0.24,-42.11
ASAN,01-Dec-2022,Oct 2022,-0.32,-0.26,0.06,18.75
ASB,20-Oct-2022,Sep 2022,0.58,0.62,0.04,6.9
ASC,02-Nov-2022,Sep 2022,1.4,1.54,0.14,10.0
ASGN,26-Oct-2022,Sep 2022,1.79,1.79,0.0,0.0
