ticker,date,period_ending,estimate,reported,surprise,surprise%
A,28-FEB-23,Jan 2023,1.31,1.37,0.06,4.58
AA,18-JAN-23,Dec 2022,-0.85,-0.7,0.15,17.65
AAL,26-JAN-23,Dec 2022,1.14,1.17,0.03,2.63
AAN,01-MAR-23,Dec 2022,-0.02,0.09,0.11,550.0
AAON,27-FEB-23,Dec 2022,0.55,0.71,0.16,29.09
AAP,28-FEB-23,Dec 2022,2.41,2.88,0.47,19.5
AAPL,02-FEB-23,Dec 2022,1.93,1.88,-0.05,-2.59
AAT,07-FEB-23,Dec 2022,0.55,0.16,-0.39,-70.91
ABBV,09-FEB-23,Dec 2022,3.54,3.6,0.06,1.69
ABC,01-FEB-23,Dec 2022,2.62,2.71,0.09,3.44
ABCB,26-JAN-23,Dec 2022,1.34,1.17,-0.17,-12.69
ABG,02-FEB-23,Dec 2022,8.23,9.12,0.89,10.81
ABM,08-MAR-23,Jan 2023,0.77,0.79,0.02,2.6
ABR,17-FEB-23,Dec 2022,0.47,0.6,0.13,27.66
ABT,25-JAN-23,Dec 2022,0.9,1.03,0.13,14.44
ABUS,02-MAR-23,Dec 2022,-0.14,-0.14,0.0,0.0
ACA,23-FEB-23,Dec 2022,0.19,0.24,0.05,26.32
ACAD,27-FEB-23,Dec 2022,-0.25,-0.26,-0.01,-4.0
ACCD,09-JAN-23,Nov 2022,-0.61,-0.56,0.05,8.2
ACCO,23-FEB-23,Dec 2022,0.33,0.32,-0.01,-3.03
ACEL,28-FEB-23,Dec 2022,0.22,0.23,0.01,4.55
ACET,15-MAR-23,Dec 2022,-0.56,-0.72,-0.16,-28.57
ACGL,13-FEB-23,Dec 2022,1.34,2.14,0.8,59.7
ACHC,27-FEB-23,Dec 2022,0.74,0.7,-0.04,-5.41
ACI,10-JAN-23,Nov 2022,0.67,0.87,0.2,29.85
ACLS,08-FEB-23,Dec 2022,1.46,1.71,0.25,17.12
ACM,06-FEB-23,Dec 2022,0.82,0.86,0.04,4.88
ACMR,24-FEB-23,Dec 2022,0.1,0.19,0.09,90.0
ACN,16-DEC-22,Nov 2022,2.91,3.08,0.17,5.84
ACRE,15-FEB-23,Dec 2022,0.36,0.44,0.08,22.22
ACRS,23-FEB-23,Dec 2022,-0.46,-0.41,0.05,10.87
ACT,06-FEB-23,Dec 2022,0.92,0.9,-0.02,-2.17
ADBE,15-DEC-22,Nov 2022,3.5,2.78,-0.72,-20.57
ADC,14-FEB-23,Dec 2022,0.95,0.44,-0.51,-53.68
ADI,15-FEB-23,Jan 2023,2.59,2.75,0.16,6.18
ADM,26-JAN-23,Dec 2022,1.64,1.93,0.29,17.68
ADMA,23-MAR-23,Dec 2022,-0.07,-0.06,0.01,14.29
ADNT,07-FEB-23,Dec 2022,0.4,0.34,-0.06,-15.0
ADP,25-JAN-23,Dec 2022,1.95,1.96,0.01,0.51
ADPT,14-FEB-23,Dec 2022,-0.37,-0.28,0.09,24.32
ADSK,23-FEB-23,Jan 2023,1.81,1.86,0.05,2.76
ADT,28-FEB-23,Dec 2022,0.21,0.1,-0.11,-52.38
ADTN,21-FEB-23,Dec 2022,0.16,0.12,-0.04,-25.0
ADUS,27-FEB-23,Dec 2022,0.97,1.11,0.14,14.43
AEE,15-FEB-23,Dec 2022,0.56,0.63,0.07,12.5
AEIS,08-FEB-23,Dec 2022,1.58,1.7,0.12,7.59
AEL,16-FEB-23,Dec 2022,0.96,0.79,-0.17,-17.71
AEO,01-MAR-23,Jan 2023,0.3,0.37,0.07,23.33
AEP,23-FEB-23,Dec 2022,0.99,1.05,0.06,6.06
AES,27-FEB-23,Dec 2022,0.46,0.49,0.03,6.52
AFG,01-FEB-23,Dec 2022,2.95,2.99,0.04,1.36
AFL,01-FEB-23,Dec 2022,1.21,1.29,0.08,6.61
AGCO,07-FEB-23,Dec 2022,3.88,4.47,0.59,15.21
AGEN,14-MAR-23,Dec 2022,-0.22,-0.24,-0.02,-9.09
AGIO,23-FEB-23,Dec 2022,-1.59,0.67,2.26,142.14
AGL,01-MAR-23,Dec 2022,-0.08,-0.14,-0.06,-75.0
AGM,24-FEB-23,Dec 2022,2.89,3.16,0.27,9.34
AGNC,30-JAN-23,Dec 2022,0.67,0.74,0.07,10.45
AGR,21-FEB-23,Dec 2022,0.39,0.39,0.0,0.0
AGTI,07-MAR-23,Dec 2022,0.18,0.18,0.0,0.0
AGYS,24-JAN-23,Dec 2022,0.24,0.26,0.02,8.33
AHCO,27-FEB-23,Dec 2022,0.31,0.01,-0.3,-96.77
AHH,14-FEB-23,Dec 2022,0.32,0.13,-0.19,-59.38
AI,02-MAR-23,Jan 2023,-0.22,-0.06,0.16,72.73
AIG,15-FEB-23,Dec 2022,1.19,1.36,0.17,14.29
AIN,13-FEB-23,Dec 2022,0.7,0.75,0.05,7.14
AIR,20-DEC-22,Nov 2022,0.69,0.69,0.0,0.0
AIRC,09-FEB-23,Dec 2022,0.59,2.17,1.58,267.8
AIT,26-JAN-23,Dec 2022,1.71,2.05,0.34,19.88
AIZ,07-FEB-23,Dec 2022,2.59,3.23,0.64,24.71
AJG,26-JAN-23,Dec 2022,1.5,1.54,0.04,2.67
AJRD,15-FEB-23,Dec 2022,0.6,0.31,-0.29,-48.33
AKAM,14-FEB-23,Dec 2022,1.27,1.37,0.1,7.87
AKR,14-FEB-23,Dec 2022,0.26,0.04,-0.22,-84.62
AKRO,17-MAR-23,Dec 2022,-0.78,-0.49,0.29,37.18
AKTS,07-FEB-23,Dec 2022,-0.25,-0.19,0.06,24.0
AL,16-FEB-23,Dec 2022,1.05,1.21,0.16,15.24
ALB,15-FEB-23,Dec 2022,8.46,8.62,0.16,1.89
ALE,16-FEB-23,Dec 2022,1.11,0.9,-0.21,-18.92
ALEC,28-FEB-23,Dec 2022,-0.54,-0.63,-0.09,-16.67
ALEX,28-FEB-23,Dec 2022,0.24,0.22,-0.02,-8.33
ALG,23-FEB-23,Dec 2022,1.96,2.44,0.48,24.49
ALGM,31-JAN-23,Dec 2022,0.32,0.35,0.03,9.38
ALGN,01-FEB-23,Dec 2022,1.52,1.73,0.21,13.82
ALGT,01-FEB-23,Dec 2022,0.79,3.17,2.38,301.27
ALK,26-JAN-23,Dec 2022,0.9,0.92,0.02,2.22
ALKS,16-FEB-23,Dec 2022,0.05,0.14,0.09,180.0
ALKT,23-FEB-23,Dec 2022,-0.06,-0.05,0.01,16.67
ALL,01-FEB-23,Dec 2022,-1.37,-1.36,0.01,0.73
ALLE,22-FEB-23,Dec 2022,1.37,1.6,0.23,16.79
ALLO,28-FEB-23,Dec 2022,-0.71,-0.66,0.05,7.04
ALLY,20-JAN-23,Dec 2022,0.98,1.08,0.1,10.2
ALNY,23-FEB-23,Dec 2022,-2.13,-1.68,0.45,21.13
ALRM,23-FEB-23,Dec 2022,0.43,0.53,0.1,23.26
ALRS,25-JAN-23,Dec 2022,0.58,0.53,-0.05,-8.62
ALSN,15-FEB-23,Dec 2022,1.21,1.52,0.31,25.62
ALTG,09-MAR-23,Dec 2022,0.04,-0.05,-0.09,-225.0
ALTR,23-FEB-23,Dec 2022,0.18,0.31,0.13,72.22
ALX,13-FEB-23,Dec 2022,4.08,2.57,-1.51,-37.01
ALXO,09-MAR-23,Dec 2022,-0.91,-0.6,0.31,34.07
AM,15-FEB-23,Dec 2022,0.17,0.2,0.03,17.65
AMAL,26-JAN-23,Dec 2022,0.73,0.83,0.1,13.7
AMAT,16-FEB-23,Jan 2023,1.93,2.03,0.1,5.18
AMBA,28-FEB-23,Jan 2023,0.15,0.23,0.08,53.33
AMC,28-FEB-23,Dec 2022,-0.21,-0.14,0.07,33.33
AMCR,07-FEB-23,Dec 2022,0.18,0.19,0.01,5.56
AMCX,17-FEB-23,Dec 2022,1.23,2.52,1.29,104.88
AMD,31-JAN-23,Dec 2022,0.66,0.69,0.03,4.55
AME,02-FEB-23,Dec 2022,1.47,1.52,0.05,3.4
AMED,15-FEB-23,Dec 2022,1.03,1.16,0.13,12.62
AMEH,23-FEB-23,Dec 2022,0.09,0.02,-0.07,-77.78
AMG,06-FEB-23,Dec 2022,7.03,7.28,0.25,3.56
AMGN,31-JAN-23,Dec 2022,4.04,4.09,0.05,1.24
AMH,23-FEB-23,Dec 2022,0.4,0.25,-0.15,-37.5
AMK,22-FEB-23,Dec 2022,0.44,0.46,0.02,4.55
